frame,DetObj#,x,y,z,v,Azimuth,Elevation,snr,noise
0,0,-0.39557957649230957,1.192001461982727,-0.15823182463645935,0.0,-18.359026444259367,-7.180755483203472,107,398
0,1,-0.5142534375190735,1.143311619758606,0.17541374266147614,0.038847148418426514,-24.21787636125236,7.96530152808665,131,452
0,2,-0.6329272985458374,1.0584251880645752,0.28552958369255066,0.07769429683685303,-30.878986540821277,13.03596877399016,87,410
0,3,-0.47469547390937805,1.151045799255371,0.22835448384284973,0.07769429683685303,-22.411429003820015,10.392797474655096,87,410
0,4,-0.5142534375190735,1.132076621055603,0.23734773695468903,-0.07769429683685303,-24.43024384068898,10.806922337081467,65,412
0,5,-0.3164636492729187,1.1840986013412476,-0.3164636492729187,-0.07769429683685303,-14.963216842151645,-14.477511651571028,65,412
0,6,-0.6329272985458374,1.0523288249969482,0.307237833738327,-0.038847148418426514,-31.024969903376196,14.046647149619737,106,458
0,7,-0.08570890128612518,2.493985652923584,-1.1379848718643188,-0.038847148418426514,-1.9682657013794453,-24.514051015125286,75,412
1,0,-0.3164636492729187,1.206160068511963,0.21775341033935547,0.0,-14.701487935060952,9.905337487431716,62,441
1,1,-0.7120432257652283,1.024198293685913,-0.21540698409080505,0.0,-34.8078025610799,-9.797542918006931,62,441
1,2,-0.36920759081840515,1.377918004989624,-0.38217228651046753,0.038847148418426514,-14.999828311590644,-14.99760865940527,129,477
1,3,-0.507660448551178,1.2631534337997437,-0.5724963545799255,0.07769429683685303,-21.89515872712083,-22.808483989435548,91,420
1,4,-0.35602161288261414,1.1485439538955688,-0.39557957649230957,-0.07769429683685303,-17.22220679801568,-18.209957929012248,99,425
1,5,-0.3164636492729187,1.1933605670928955,-0.2795161306858063,-0.038847148418426514,-14.852235214615678,-12.756741161793926,131,481
1,6,1.7405500411987305,1.8110461235046387,0.3164636492729187,-0.038847148418426514,43.86287818416251,7.180755618040099,82,432
2,0,-0.36920759081840515,1.4241986274719238,-0.12795333564281464,0.0,-14.533358488867274,-4.970367114914635,203,500
2,1,-0.4153585433959961,1.407800316810608,-0.16310493648052216,0.038847148418426514,-16.438210175947262,-6.340828615157876,179,513
2,2,-0.46150949597358704,1.390668272972107,-0.18460379540920258,0.07769429683685303,-18.359027299094148,-7.180755955616775,136,454
2,3,-0.36920759081840515,1.4274331331253052,-0.08454728126525879,0.11654144525527954,-14.50181650498317,-3.28192907826913,93,411
2,4,-0.46150949597358704,1.4024708271026611,0.03335217013955116,0.15538859367370605,-18.214766271800517,1.2940559469497448,57,404
2,5,-0.46150949597358704,1.390668272972107,-0.18460379540920258,-0.15538859367370605,-18.359027299094148,-7.180755955616775,78,414
2,6,-0.36920759081840515,1.414473533630371,-0.20970962941646576,-0.11654144525527954,-14.629008607088746,-8.163583467670199,137,421
2,7,-0.36920759081840515,1.4195700883865356,-0.17185574769973755,-0.07769429683685303,-14.578728906360457,-6.682533679028769,217,479
2,8,1.8987818956375122,1.6543725728988647,0.2592882215976715,-0.07769429683685303,48.934981999961586,5.878327224670305,98,432
2,9,-0.36920759081840515,1.4212583303451538,-0.15728512406349182,-0.038847148418426514,-14.562148147616307,-6.113699597815403,228,538
2,10,1.8196660280227661,1.7509500980377197,0.18039143085479736,-0.038847148418426514,46.10251196807627,4.085948378469973,105,484
3,0,-0.4944744408130646,0.8887279033660889,-0.28004831075668335,0.038847148418426514,-29.090885247772643,-15.3954247673877,66,541
3,1,-0.7516011595726013,0.8712254166603088,-0.5276834964752197,0.07769429683685303,-40.78415136377051,-24.63647155205972,88,480
3,2,-0.4153585433959961,1.4159908294677734,0.05894972383975983,-0.11654144525527954,-16.348217520214746,2.287648002586205,124,464
3,3,1.8987818956375122,1.6628903150558472,-0.1974203735589981,-0.11654144525527954,48.78919823145674,-4.472412969473011,56,455
3,4,-0.39557957649230957,1.2015132904052734,-0.047649651765823364,-0.038847148418426514,-18.223326129224777,-2.157253357184022,210,583
4,0,-0.46150949597358704,1.4002881050109863,-0.08503063023090363,0.0,-18.24128009396118,-3.3007121633696714,176,536
4,1,-0.46150949597358704,1.4028220176696777,0.011283647269010544,0.038847148418426514,-18.21050726479028,0.4377697460272125,101,512
4,2,-0.7911591529846191,0.9361120462417603,-0.3164636492729187,0.11654144525527954,-40.2029685817406,-14.477512438804327,68,419
4,3,-0.46150949597358704,1.4011476039886475,-0.06944184750318527,-0.11654144525527954,-18.23083074806493,-2.6950911899928154,98,444
4,4,-0.4153585433959961,1.412501335144043,-0.11552033573389053,-0.07769429683685303,-16.38644063786005,-4.486362537044823,161,544
4,5,-0.4153585433959961,1.413287878036499,-0.1054629310965538,-0.038847148418426514,-16.377809860007392,-4.09507337309945,187,574
5,0,-0.5538113713264465,1.36881685256958,0.025717319920659065,0.0,-22.02782688158481,0.9977912073414583,159,516
5,1,-0.507660448551178,1.3806228637695312,-0.13110846281051636,0.038847148418426514,-20.188673312683463,-5.09324841895057,135,525
5,2,-0.4351375102996826,1.1873188018798828,-0.05759662762284279,0.07769429683685303,-20.127254473624077,-2.607869267793301,78,488
5,3,-0.7516011595726013,1.0154920816421509,0.07911591231822968,0.11654144525527954,-36.50643622145595,3.5833217724813324,69,401
5,4,-0.6329272985458374,1.0885694026947021,0.1296442598104477,0.11654144525527954,-30.17501921966858,5.878333960651961,69,401
5,5,-0.5999623537063599,1.2681018114089966,-0.46150949597358704,-0.15538859367370605,-25.319694558216533,-18.20995665810386,60,416
5,6,-0.4153585433959961,1.4159908294677734,0.05894972383975983,-0.15538859367370605,-16.348217520214746,2.287648002586205,60,416
5,7,-0.5999623537063599,1.3490469455718994,-0.03384389355778694,-0.11654144525527954,-23.976174958684144,-1.3131379826301361,116,419
5,8,-0.46150949597358704,1.3938831090927124,-0.15851451456546783,-0.11654144525527954,-18.319514587283397,-6.161670719869366,116,419
5,9,-0.5538113713264465,1.3681085109710693,-0.05099150165915489,-0.07769429683685303,-22.03814002106223,-1.9786826090083771,161,502
5,10,-0.5538113713264465,1.3680942058563232,-0.05137176066637039,-0.038847148418426514,-22.038348391714926,-1.9934442759589872,187,549
6,0,-0.5142534375190735,1.1372169256210327,-0.21135015785694122,0.0,-24.33264784276225,-9.611255081710683,124,502
6,1,2.057013511657715,1.8047306537628174,-0.18428963422775269,0.0,48.73774946443631,-3.8527868435486177,120,434
6,2,-0.6461132764816284,1.3190194368362427,0.1541212946176529,0.038847148418426514,-26.09762916292989,5.990266395962132,113,509
6,3,-0.7120432257652283,0.8776868581771851,-0.5701298713684082,0.07769429683685303,-39.05147020347373,-26.768790953450406,108,474
6,4,-0.7516011595726013,0.9905299544334412,-0.23734773695468903,0.11654144525527954,-37.190750741405665,-10.806922952186195,84,393
6,5,-0.5999623537063599,1.3334286212921143,-0.2074638456106186,-0.11654144525527954,-24.22486786080905,-8.075572351060547,69,421
6,6,-0.507660448551178,1.3837590217590332,0.09230189770460129,-0.11654144525527954,-20.146600573165813,3.583321801473263,69,421
6,7,-0.47469547390937805,1.172599196434021,-0.0454217903316021,-0.07769429683685303,-22.039249305829877,-2.0563465392126434,131,475
6,8,1.8987818956375122,1.6698061227798462,0.12620024383068085,-0.07769429683685303,48.67130796075276,2.857255127073485,107,424
6,9,-0.507660448551178,1.3864986896514893,-0.030494246631860733,-0.038847148418426514,-20.10998420886638,-1.183152761443103,163,522
6,10,1.8196660280227661,1.7602009773254395,-0.007716807536780834,-0.038847148418426514,45.951650801955594,-0.17464137981217948,141,459
7,0,-0.5142534375190735,1.100115180015564,-0.35732030868530273,0.0,-25.053934316014598,-16.396087864305677,82,511
7,1,-0.4351375102996826,1.1807453632354736,-0.1374177187681198,0.038847148418426514,-20.23024530554053,-6.2321551046938835,117,553
7,2,-0.5142534375190735,1.1198890209197998,-0.28944769501686096,0.07769429683685303,-24.66460414886479,-13.218070991802547,93,502
7,3,-0.5999623537063599,1.346311092376709,-0.09230189770460129,0.11654144525527954,-24.01939072239226,-3.583321618868611,67,401
7,4,-0.5999623537063599,1.3490712642669678,0.03286045044660568,-0.07769429683685303,-23.975791474654855,1.274974139671717,105,424
7,5,-0.5538113713264465,1.368712306022644,-0.030781487002968788,-0.038847148418426514,-22.029348455929764,-1.1942989959416679,148,479
8,0,-0.46150949597358704,1.401802659034729,-0.05464478209614754,0.0,-18.222874688754242,-2.120507844174167,169,455
8,1,-0.46150949597358704,1.402820110321045,0.011519636027514935,0.038847148418426514,-18.210530390656658,0.44692554251863553,188,511
