frame,DetObj#,x,y,z,v,Azimuth,Elevation,snr,noise
0,0,0.0,0.8434326648712158,0.0281723253428936,0.0,0.0,1.913081519603908,172,371
0,1,0.03296496346592903,1.025921106338501,0.2432458996772766,0.038847148418426514,1.8403984911730844,13.3318874462302,170,420
0,2,0.03296496346592903,1.001505732536316,0.3296496272087097,0.07769429683685303,1.8852329603467406,18.20995688308097,103,412
0,3,-0.03296496346592903,1.018884539604187,0.2712140679359436,0.07769429683685303,-1.8530997229228063,14.89832025665289,103,412
0,4,0.23734773695468903,2.4754559993743896,0.47469547390937805,-1.2042615413665771,5.476800960936588,10.806922288183708,56,378
0,5,0.19778978824615479,1.1860792636871338,0.39557957649230957,-0.07769429683685303,9.467488097366502,18.209956651468595,62,395
0,6,0.3164636492729187,1.1840986013412476,0.3164636492729187,-0.07769429683685303,14.963216842151645,14.477511651571028,62,395
0,7,-0.16482481360435486,0.9521509408950806,-0.423096626996994,-0.038847148418426514,-9.821021749347455,-23.64605684394251,126,403
0,8,0.23075474798679352,0.9458540678024292,0.40605613589286804,-0.038847148418426514,13.71031333451339,22.639491429376868,126,403
1,0,0.2109757661819458,0.8153833150863647,-0.05302492529153824,0.0,14.506803686121547,-3.6024363634256797,93,390
1,1,-0.1054878830909729,0.8102678060531616,-0.2109757661819458,0.0,-7.417555786814828,-14.477512178954797,93,390
1,2,0.0,1.2658494710922241,-0.0035975296050310135,0.038847148418426514,0.0,-0.16283350670159435,203,411
1,3,0.0,1.2613003253936768,-0.10728201270103455,0.07769429683685303,0.0,-4.861686892648574,124,400
1,4,-0.03955795615911484,1.2647651433944702,-0.034528352320194244,-0.07769429683685303,-1.791451413839126,-1.563034365192922,114,408
1,5,-0.03955795615911484,1.2645597457885742,0.04137232154607773,-0.038847148418426514,-1.791742202793571,1.8729494301594138,198,414
2,0,0.0,0.8343461751937866,0.12664484977722168,0.0,0.0,8.631004489839432,171,385
2,1,0.0,0.8413736820220947,0.06528991460800171,0.038847148418426514,0.0,4.437213807365962,216,429
2,2,0.0,0.8413333892822266,0.06580682843923569,0.07769429683685303,0.0,4.472415504932264,143,407
